335 €/mēn. (11.75 €/m²),28.50 m²,1,6/7,Brīvības 108a,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/dlmem.html,"[""dlmem-flats-riga-centre-65392958.800.jpg"", ""dlmem-flats-riga-centre-65392959.800.jpg"", ""dlmem-flats-riga-centre-65392960.800.jpg"", ""dlmem-flats-riga-centre-65392961.800.jpg"", ""dlmem-flats-riga-centre-65392962.800.jpg"", ""dlmem-flats-riga-centre-65392963.800.jpg"", ""dlmem-flats-riga-centre-65392964.800.jpg"", ""dlmem-flats-riga-centre-65392965.800.jpg"", ""dlmem-flats-riga-centre-65393030.800.jpg"", ""dlmem-flats-riga-centre-61599006.800.jpg"", ""dlmem-flats-riga-centre-41921747.800.jpg"", ""dlmem-flats-riga-centre-61599008.800.jpg"", ""dlmem-flats-riga-centre-54640279.800.jpg"", ""dlmem-flats-riga-centre-61599020.800.jpg"", ""dlmem-flats-riga-centre-65392966.800.jpg""]"
360 €/mēn. (5.45 €/m²),66 m²,2,4/5,Brīvības 106a,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/dnlgb.html,"[""dnlgb-flats-riga-centre-65392810.800.jpg"", ""dnlgb-flats-riga-centre-65392811.800.jpg"", ""dnlgb-flats-riga-centre-65392812.800.jpg"", ""dnlgb-flats-riga-centre-65392813.800.jpg"", ""dnlgb-flats-riga-centre-65392814.800.jpg"", ""dnlgb-flats-riga-centre-65392815.800.jpg"", ""dnlgb-flats-riga-centre-65392816.800.jpg"", ""dnlgb-flats-riga-centre-65392817.800.jpg"", ""dnlgb-flats-riga-centre-65392818.800.jpg"", ""dnlgb-flats-riga-centre-65392854.800.jpg"", ""dnlgb-flats-riga-centre-65392820.800.jpg"", ""dnlgb-flats-riga-centre-65392821.800.jpg"", ""dnlgb-flats-riga-centre-65392822.800.jpg"", ""dnlgb-flats-riga-centre-65392823.800.jpg"", ""dnlgb-flats-riga-centre-65392824.800.jpg"", ""dnlgb-flats-riga-centre-65227225.800.jpg"", ""dnlgb-flats-riga-centre-65227226.800.jpg"", ""dnlgb-flats-riga-centre-65227232.800.jpg"", ""dnlgb-flats-riga-centre-65227281.800.jpg""]"
101 €/mēn. (5.61 €/m²),18 m²,1,2/2,Uriekstes 37,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/aeeeo.html,"[""aeeeo-flats-riga-centre-63641408.800.jpg"", ""aeeeo-flats-riga-centre-63641409.800.jpg"", ""aeeeo-flats-riga-centre-63641410.800.jpg"", ""aeeeo-flats-riga-centre-63641411.800.jpg"", ""aeeeo-flats-riga-centre-63641412.800.jpg"", ""aeeeo-flats-riga-centre-63641413.800.jpg"", ""aeeeo-flats-riga-centre-63641414.800.jpg"", ""aeeeo-flats-riga-centre-63641415.800.jpg"", ""aeeeo-flats-riga-centre-63641416.800.jpg"", ""aeeeo-flats-riga-centre-63641417.800.jpg"", ""aeeeo-flats-riga-centre-63641418.800.jpg"", ""aeeeo-flats-riga-centre-63641419.800.jpg"", ""aeeeo-flats-riga-centre-63641420.800.jpg"", ""aeeeo-flats-riga-centre-63641421.800.jpg"", ""aeeeo-flats-riga-centre-63641422.800.jpg"", ""aeeeo-flats-riga-centre-63641423.800.jpg"", ""aeeeo-flats-riga-centre-63641424.800.jpg"", ""aeeeo-flats-riga-centre-63641425.800.jpg"", ""aeeeo-flats-riga-centre-63641426.800.jpg"", ""aeeeo-flats-riga-centre-63641427.800.jpg"", ""aeeeo-flats-riga-centre-63641428.800.jpg""]"
500 €/mēn. (10 €/m²),50 m²,2,4/6,Lāčplēša 52,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/gfbng.html,"[""gfbng-flats-riga-centre-65399530.800.jpg"", ""gfbng-flats-riga-centre-65399531.800.jpg"", ""gfbng-flats-riga-centre-65399532.800.jpg"", ""gfbng-flats-riga-centre-65399533.800.jpg"", ""gfbng-flats-riga-centre-65399534.800.jpg"", ""gfbng-flats-riga-centre-65399535.800.jpg"", ""gfbng-flats-riga-centre-65399536.800.jpg""]"
330 €/mēn. (7.33 €/m²),45 m²,2,2/3,Lauku 4,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/dleik.html,"[""dleik-flats-riga-centre-65398689.800.jpg"", ""dleik-flats-riga-centre-65398690.800.jpg"", ""dleik-flats-riga-centre-65398691.800.jpg"", ""dleik-flats-riga-centre-65398692.800.jpg"", ""dleik-flats-riga-centre-65398693.800.jpg"", ""dleik-flats-riga-centre-65398694.800.jpg"", ""dleik-flats-riga-centre-65398695.800.jpg"", ""dleik-flats-riga-centre-65398696.800.jpg""]"
30 €/dienā (0.86 €/m²),35 m²,2,2/6,Valdemāra 127,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/ahjbx.html,"[""ahjbx-flats-riga-centre-65397970.800.jpg"", ""ahjbx-flats-riga-centre-65397972.800.jpg"", ""ahjbx-flats-riga-centre-65397971.800.jpg"", ""ahjbx-flats-riga-centre-65397974.800.jpg"", ""ahjbx-flats-riga-centre-65397975.800.jpg""]"
250 €/mēn. (8.33 €/m²),30 m²,2,3/6,Valdemāra 127,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/aehlh.html,"[""aehlh-flats-riga-centre-65398250.800.jpg"", ""aehlh-flats-riga-centre-65398251.800.jpg"", ""aehlh-flats-riga-centre-65398252.800.jpg"", ""aehlh-flats-riga-centre-65398253.800.jpg"", ""aehlh-flats-riga-centre-65398254.800.jpg"", ""aehlh-flats-riga-centre-65398255.800.jpg""]"
300 €/mēn. (8.57 €/m²),35 m²,2,2/6,Valdemāra 127,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/anndb.html,"[""anndb-flats-riga-centre-65397969.800.jpg"", ""anndb-flats-riga-centre-65397970.800.jpg"", ""anndb-flats-riga-centre-65397971.800.jpg"", ""anndb-flats-riga-centre-65397972.800.jpg"", ""anndb-flats-riga-centre-65397973.800.jpg"", ""anndb-flats-riga-centre-65397974.800.jpg"", ""anndb-flats-riga-centre-65397975.800.jpg""]"
450 €/mēn. (5.70 €/m²),79 m²,3,1/5,Stabu 60,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/apxjn.html,"[""apxjn-flats-riga-centre-58701143.800.jpg"", ""apxjn-flats-riga-centre-58701144.800.jpg"", ""apxjn-flats-riga-centre-65397945.800.jpg"", ""apxjn-flats-riga-centre-58701152.800.jpg"", ""apxjn-flats-riga-centre-58701151.800.jpg"", ""apxjn-flats-riga-centre-58701149.800.jpg"", ""apxjn-flats-riga-centre-58701150.800.jpg"", ""apxjn-flats-riga-centre-58701147.800.jpg"", ""apxjn-flats-riga-centre-65397946.800.jpg"", ""apxjn-flats-riga-centre-65397947.800.jpg"", ""apxjn-flats-riga-centre-58701154.800.jpg"", ""apxjn-flats-riga-centre-65397948.800.jpg"", ""apxjn-flats-riga-centre-65397949.800.jpg"", ""apxjn-flats-riga-centre-65397950.800.jpg"", ""apxjn-flats-riga-centre-65397951.800.jpg"", ""apxjn-flats-riga-centre-65397952.800.jpg"", ""apxjn-flats-riga-centre-65397953.800.jpg"", ""apxjn-flats-riga-centre-65397954.800.jpg"", ""apxjn-flats-riga-centre-65397955.800.jpg"", ""apxjn-flats-riga-centre-65397956.800.jpg""]"
40 €/dienā (0.53 €/m²),75 m²,2,1/3,Barona 88,centrs,https://www.ss.lv//msg/lv/real-estate/flats/riga/centre/affjk.html,"[""affjk-flats-riga-centre-42872558.800.jpg"", ""affjk-flats-riga-centre-42872560.800.jpg"", ""affjk-flats-riga-centre-42872556.800.jpg"", ""affjk-flats-riga-centre-42872554.800.jpg"", ""affjk-flats-riga-centre-56489352.800.jpg"", ""affjk-flats-riga-centre-42872557.800.jpg"", ""affjk-flats-riga-centre-42872555.800.jpg""]"
